Category,German,English,Hindi
🍎 Food,der Streit,argument,झगड़ा
🏥 Health & Feelings,der Stress (Sg.),stress,तनाव
📚 School & Learning,der Student,student (male),छात्र (विश्वविद्यालय)
⏰ Time,der Stundenplan,timetable,समय-सारणी
👤 Pronouns,der Swimmingpool,swimming pool,स्विमिंग पूल
👤 Pronouns,der Sänger,singer (male),गायक
👤 Pronouns,der Tau,dew,ओस
🍎 Food,der Teich,pond,तालाब
🏥 Health & Feelings,der Termin beim Arzt,doctor's appointment,डॉक्टर का अपॉइंटमेंट
🏙️ Places & City,der Tierpark,animal park,जानवर पार्क
👤 Pronouns,der Tipp,tip,सुझाव
👤 Pronouns,der Titel,title,शीर्षक
👤 Pronouns,der Tourist,tourist,पर्यटक
👤 Pronouns,der Trainer,coach,कोच
👤 Pronouns,der Traum,dream,सपना
👤 Pronouns,der Umschlag,envelope,लिफाफा
🌳 Nature & Weather,der Umweltschutz,environmental protection,पर्यावरण संरक्षण
🏠 House & Furniture,der Umzug,move,स्थानांतरण
🚗 Transport & Travel,der Unfall,accident,दुर्घटना
🚗 Transport & Travel,der Urlaubsort,vacation destination,छुट्टी का स्थान
🏥 Health & Feelings,der Verband,bandage,पट्टी
🍎 Food,der Verein,club; association,क्लब
🚗 Transport & Travel,der Verkehr (Sg.),traffic,यातायात
🏠 House & Furniture,der Vermieter,landlord,मकान मालिक
👤 Pronouns,der Volleyball,volleyball,वॉलीबॉल
👤 Pronouns,der Vorschlag,suggestion,सुझाव
🏙️ Places & City,der Vortrag,lecture,व्याख्यान
🚗 Transport & Travel,der Wagen,car; wagon,गाड़ी
🐾 Animals,der Waschbär,raccoon,रैकून
📚 School & Learning,der Wechselkurs,exchange rate,विनिमय दर
👤 Pronouns,der Wecker,alarm clock,अलार्म क्लॉक
🚗 Transport & Travel,der Weg,way/path,रास्ता
🍎 Food,der Wein,wine,शराब
❓ Question Words,der Werbespot,commercial,विज्ञापन
❓ Question Words,der Wettbewerb,contest,प्रतियोगिता
🌳 Nature & Weather,der Wetterbericht,weather forecast,मौसम पूर्वानुमान
👤 Pronouns,der Wettkampf,competition,प्रतियोगिता
❓ Question Words,der Wiesel,weasel,नीला
🏙️ Places & City,der Windpark,wind farm,पवन ऊर्जा पार्क
👤 Pronouns,der Witz,joke,चुटकुला
🏙️ Places & City,der Wochenmarkt,weekly market,साप्ताहिक बाज़ार
🛒 Shopping & Money,der Workshop,workshop,कार्यशाला
👤 Pronouns,der Wunsch,wish,इच्छा
👤 Pronouns,der Wurm,worm,कीड़ा
👤 Pronouns,der Wähler,voter,मतदाता
🍎 Food,der Zeitplan,schedule,शेड्यूल
🍎 Food,der Zeitpunkt,point in time,समय बिंदु
🍎 Food,der Zeitraum,time period,समय अवधि
🎒 Personal Items,der Zettel,note/paper,नोट/कागज़
🛒 Shopping & Money,der Zins,interest,ब्याज
🛒 Shopping & Money,der Zinsen,interest,ब्याज
👤 Pronouns,der Zirkus,circus,सर्कस
🚗 Transport & Travel,der Zoll,customs,कस्टम
👤 Pronouns,der Zucker (Sg.),sugar,चीनी
👤 Pronouns,der Zuschauer,spectator,दर्शक
👤 Pronouns,der/das Blog,blog,ब्लॉग
👤 Pronouns,der/das Comic,comic,कॉमिक
🎒 Personal Items,der/das Laptop,laptop,लैपटॉप
👤 Pronouns,der/die,the (m/f),वह (पु/स्त्री)
👤 Pronouns,deutlich,clear,स्पष्ट
📱 Communication,die (E-)Mail,the email,ईमेल
🏃 Verbs,die Abhebung,withdrawal,निकासी
🍎 Food,die Abschlussfeier,graduation ceremony,समापन समारोह
🍎 Food,die Abteilung,department,विभाग
👕 Clothing,die Accessoires,accessories,एक्सेसरीज़
🏃 Verbs,die Ahnung,idea,अंदाज़ा
🏃 Verbs,die Akte,file/folder,फ़ाइल
🏃 Verbs,die Amsel,blackbird,काली चिड़िया
🏃 Verbs,die Anlage,attachment,अटैचमेंट
👕 Clothing,die Anprobe,trying on,ट्राय करना
🏙️ Places & City,die Antwort geben,to give an answer,जवाब देना
🍎 Food,die Anzeige,ad/classified,विज्ञापन
🍎 Food,die Arbeit,work,काम
🍎 Food,die Arbeitslosigkeit,unemployment,बेरोजगारी
🧍 Body Parts,die Armut,poverty,गरीबी
🏃 Verbs,die Asyl,asylum,शरण
🏙️ Places & City,die Aufführung,performance,प्रदर्शन
🏃 Verbs,die Aufgabe lösen,to solve the task,कार्य हल करना
🏃 Verbs,die Aufregung,excitement,उत्तेजना
📚 School & Learning,die Ausbildung,apprenticeship/training,प्रशिक्षण
👤 Pronouns,die Ausdauer,endurance,सहनशीलता
📱 Communication,die Auskunft,information,जानकारी
🏃 Verbs,die Ausrüstung,equipment,उपकरण
👤 Pronouns,die Aussicht,view,नज़ारा
🏙️ Places & City,die Ausstellung,exhibition,प्रदर्शनी
🚗 Transport & Travel,die Autobahn,motorway,हाईवे
🚗 Transport & Travel,die Autorin,author (female),लेखिका
🏃 Verbs,die Band,band,बैंड
🏙️ Places & City,die Bank (im Park),bench,बेंच
🏙️ Places & City,die Bankfiliale,bank branch,बैंक शाखा
🏙️ Places & City,die Bankkarte,bank card,बैंक कार्ड
🛒 Shopping & Money,die Barzahlung,cash payment,नकद भुगतान
👤 Pronouns,die Batterie,battery,बैटरी
👕 Clothing,die Baumwolle,cotton,कपास
🏙️ Places & City,die Baustelle,construction site,निर्माण स्थल
🏃 Verbs,die Bedienung,service,सेवा
🎉 Celebrations,die Beerdigung,funeral,अंतिम संस्कार
🍎 Food,die Beere,berry,बेरी
💼 Work & Job,die Beförderung,promotion,पदोन्नति
🍎 Food,die Begeisterung,enthusiasm,उत्साह
👋 Greetings & Basics,die Begrüßung,greeting,अभिवादन
🧍 Body Parts,die Behandlung,treatment,उपचार
🍎 Food,die Beilage,side dish,साइड डिश
🐾 Animals,die Bekanntschaft,acquaintance,परिचय
👤 Pronouns,die Beratung,advice,सलाह
👤 Pronouns,die Bevölkerung,population,जनसंख्या
🚗 Transport & Travel,die Bewegung,exercise/movement,व्यायाम
🏃 Verbs,die Beziehung,relationship,रिश्ता
📚 School & Learning,die Biologie,biology,जीव विज्ञान
🏃 Verbs,die Blüte,blossom,फूल
🍎 Food,die Bohne,bean,बीन
🚗 Transport & Travel,die Bordkarte,boarding pass,बोर्डिंग पास
📱 Communication,die Briefmarke,stamp,डाक टिकट
👕 Clothing,die Brieftasche,wallet,बटुआ
🍎 Food,die Butter (Sg.),butter,मक्खन
🍎 Food,die Bäckerei,bakery,बेकरी
🏃 Verbs,die Bühne,stage,मंच
🍎 Food,die Cafeteria,canteen,कैंटीन
🏃 Verbs,die CD,CD,सीडी
💼 Work & Job,die Chefin,boss (female),बॉस (महिला)
📚 School & Learning,die Chemie,chemistry,रसायन विज्ञान
🏃 Verbs,die Creme,cream,क्रीम
👨‍👩‍👧 Family & People,die Dame,lady,महिला
🍎 Food,die Dankbarkeit,gratitude,कृतज्ञता
🍎 Food,die Datei,file,फ़ाइल
⏰ Time,die Deadline,deadline,अंतिम तिथि
🏃 Verbs,die Demo,demonstration,प्रदर्शन
🏃 Verbs,die Demokratie,democracy,लोकतंत्र
🏃 Verbs,die Demonstration,demonstration,प्रदर्शन
⏰ Time,die Deutschstunde,German lesson,जर्मन की क्लास
🏥 Health & Feelings,die Diagnose,diagnosis,निदान
🏙️ Places & City,die Disco,disco,डिस्को
👤 Pronouns,die Diskriminierung,discrimination,भेदभाव
📱 Communication,die Diskussion,discussion,चर्चा
🏥 Health & Feelings,die Diät,diet,डाइट
🏙️ Places & City,die Drogerie,drugstore,ड्रगस्टोर
🌳 Nature & Weather,die Dürre,drought,सूखा
🍎 Food,die E-Mail schreiben,to write an email,ईमेल लिखना
🍎 Food,die Eifersucht,jealousy,ईर्ष्या
🍎 Food,die Eile,hurry,जल्दबाज़ी
🍎 Food,die Einbahnstraße,one-way street,एक तरफा सड़क
🍎 Food,die Einladung,invitation,निमंत्रण
🍎 Food,die Eins,grade 1 (best),पहला नंबर
🍎 Food,die Einschreibung,enrollment,नामांकन
🍎 Food,die Einweihung,inauguration,उद्घाटन
🍎 Food,die Einwohner,inhabitants,निवासी
🍎 Food,die Einzahlung,deposit,जमा
👤 Pronouns,die Energie,energy,ऊर्जा
👤 Pronouns,die Energie sparen,to save energy,ऊर्जा बचाना
⏰ Time,die Englischstunde,English lesson,अंग्रेजी की क्लास
👨‍👩‍👧 Family & People,die Enkelin,granddaughter,पोती
👤 Pronouns,die Entfernung,distance,दूरी
🍎 Food,die Entscheidung,decision,निर्णय
🛒 Shopping & Money,die Entschuldi-,apology (prefix),माफी
🏥 Health & Feelings,die Entspannung,relaxation,आराम
🏃 Verbs,die Enttäuschung,disappointment,निराशा
👤 Pronouns,die Entzündung,inflammation,सूजन
👤 Pronouns,die Erderwärmung,global warming,वैश्विक तापन
👤 Pronouns,die Erinnerung,memory/reminder,याददाश्त
👤 Pronouns,die Erlaubnis (Sg.),permission,इजाज़त
🍎 Food,die Erleichterung,relief,राहत
👤 Pronouns,die Erneuerbare Energie,renewable energy,नवीकरणीय ऊर्जा
🍎 Food,die Ernährung,nutrition,पोषण
👤 Pronouns,die Erwartung,expectation,उम्मीद
👤 Pronouns,die Eröffnung,opening,उद्घाटन
🐾 Animals,die Eule,owl,उल्लू
🏃 Verbs,die Fahrt,journey/trip,यात्रा
🏃 Verbs,die Fakultät,faculty,संकाय
🍎 Food,die Feierlichkeit,celebration/ceremony,उत्सव
⏰ Time,die Ferien (Pl.),holidays,छुट्टियाँ
👤 Pronouns,die Fernsehsendung,TV program,टीवी कार्यक्रम
👕 Clothing,die Fledermaus,bat,चमगादड़
🏃 Verbs,die Flucht,flight (refugee),शरणार्थी
🌳 Nature & Weather,die Flut,flood,बाढ़
🏃 Verbs,die Flöte,flute,बांसुरी
🏃 Verbs,die Folge,episode,एपिसोड
🏃 Verbs,die Folie,slide,स्लाइड
💼 Work & Job,die Frage stellen,to ask a question,सवाल पूछना
🍎 Food,die Freiheit,freedom,स्वतंत्रता
🍎 Food,die Freizeit,free time,खाली समय
🍎 Food,die Freizeit (Sg.),free time,खाली समय
🍎 Food,die Freizeitaktivität,leisure activity,खाली समय की गतिविधि
🏥 Health & Feelings,die Freude,joy,खुशी
👨‍👩‍👧 Family & People,die Freundschaft,friendship,दोस्ती
⏰ Time,die Frist,deadline,डेडलाइन
🏃 Verbs,die Frucht,fruit,फल
🏃 Verbs,die Frustration,frustration,निराशा
🔗 Adverbs & Connectors,die Fundsachen,lost property,खोया हुआ सामान
🧍 Body Parts,die Fußgängerzone,pedestrian zone,पैदल क्षेत्र
🏙️ Places & City,die Führung,guided tour,गाइडेड टूर
🏙️ Places & City,die Galerie,gallery,गैलरी
🏠 House & Furniture,die Gardine,curtain (net),पर्दा (जाली वाला)
🛒 Shopping & Money,die Gebühr,fee,शुल्क
🏃 Verbs,die Gegenwart,present,वर्तमान
🍎 Food,die Geige,violin,वायलिन
🍎 Food,die Gelassenheit,calmness,शांति
👤 Pronouns,die Genesung,recovery,ठीक होना
📚 School & Learning,die Geografie,geography,भूगोल
🎉 Celebrations,die Geschenke,gifts,उपहार
📚 School & Learning,die Geschichte,story,कहानी
🍎 Food,die Geschwindigkeit,speed,गति
🍎 Food,die Geschwindigkeitsbegrenzung,speed limit,गति सीमा
🐾 Animals,die Gesellschaft,society,समाज
🍎 Food,die Gewohnheit,habit,आदत
🏃 Verbs,die Gewürze,spices,मसाले
🏃 Verbs,die Gitarre,guitar,गिटार
🏃 Verbs,die Gitarre spielen,to play guitar,गिटार बजाना
🍎 Food,die Gleichberechtigung,equality,समानता
🏙️ Places & City,die Glückwunschkarte,congratulation card,बधाई कार्ड
🍎 Food,die Glühbirne,light bulb,बल्ब
🏃 Verbs,die Grenze,border,सीमा
🍎 Food,die Grillparty,barbecue party,बारबेक्यू पार्टी
📋 Grammar & Reference,die Grippe (Sg.),flu,फ्लू
🏃 Verbs,die Gruppe,group,समूह
🏃 Verbs,die Gäste,guests,मेहमान
👤 Pronouns,die Halle,hall,हॉल
🧍 Body Parts,die Handlung,plot,कहानी
🍎 Food,die Hauptspeise,main course,मुख्य पकवान
🏙️ Places & City,die Hauptstadt,capital city,राजधानी
🍎 Food,die Hausarbeit,housework,घरेलू काम
🏠 House & Furniture,die Hausaufgaben,homework,होमवर्क
🏃 Verbs,die Hecke,hedge,बाड़
🍎 Food,die Heimat (Sg.),homeland,मातृभूमि
🍎 Food,die Heizung,heating,हीटिंग
🏃 Verbs,die Hilfe,help,मदद
📋 Grammar & Reference,die Hilfe (Sg.),help,मदद
🍎 Food,die Hilfe leisten,to provide help,मदद प्रदान करना
🏃 Verbs,die Hilfsorganisation,aid organization,सहायता संगठन
🌳 Nature & Weather,die Hitze,heat,गर्मी
🏃 Verbs,die Hobbys,hobbies,शौक
📚 School & Learning,die Hochschule,college,कॉलेज
🏥 Health & Feelings,die Hoffnung,hope,उम्मीद
📱 Communication,die Homepage,homepage,होमपेज
🏥 Health & Feelings,die Hygiene,hygiene,स्वच्छता
👤 Pronouns,die Händedesinfektion,hand disinfection,हाथ की सफाई
🏃 Verbs,die Idee,idea,विचार
🏥 Health & Feelings,die Impfung,vaccination,टीका
📱 Communication,die Information,information,जानकारी
🏃 Verbs,die Integration,integration,एकीकरण
👕 Clothing,die Jeans (Pl.),jeans,जींस
🏃 Verbs,die Jugend-,youth (prefix),युवा
🏃 Verbs,die Kabine,changing room,चेंजिंग रूम
🍎 Food,die Kalorie,calorie,कैलोरी
🍎 Food,die Kantine,canteen,कैंटीन
🎉 Celebrations,die Karneval,carnival,कार्निवल
💼 Work & Job,die Karriere,career,करियर
🏙️ Places & City,die Karte kaufen,to buy a map,नक्शा खरीदना
🏙️ Places & City,die Karte schicken,to send a card,कार्ड भेजना
🏃 Verbs,die Katastrophe,catastrophe,आपदा
👤 Pronouns,die Kellnerin,waitress,वेट्रेस
👤 Pronouns,die Kilometer,kilometers,किलोमीटर
📚 School & Learning,die Klausur,exam,परीक्षा
🍎 Food,die Kleidung (Sg.),clothing,कपड़े
🌳 Nature & Weather,die Klimaanlage,air conditioning,एयर कंडीशनिंग
🏃 Verbs,die Knospe,bud,कली
🏃 Verbs,die Kollegin,colleague (female),सहकर्मी (महिला)
🏠 House & Furniture,die Kommode,chest of drawers,दराजों वाली अलमारी
👤 Pronouns,die Konferenz,conference,कॉन्फ्रेंस
🏃 Verbs,die Kontaktlinse,contact lens,कॉन्टैक्ट लेंस
🛒 Shopping & Money,die Kontonummer,account number,खाता संख्या
🏃 Verbs,die Kopie,copy,कॉपी
🏃 Verbs,die Korrektur,correction,सुधार
🏃 Verbs,die Kosmetik,cosmetics,कॉस्मेटिक्स
📋 Grammar & Reference,die Kosmetik (Sg.),cosmetics,प्रसाधन सामग्री
🏃 Verbs,die Kraft,strength,शक्ति
🏥 Health & Feelings,die Kranken-,sick/health (prefix),बीमार/स्वास्थ्य
🏥 Health & Feelings,die Krankenkasse,health insurance,स्वास्थ्य बीमा
👨‍👩‍👧 Family & People,die Krankenschwester,nurse,नर्स
🏥 Health & Feelings,die Krankenversicherung,health insurance,स्वास्थ्य बीमा
🏥 Health & Feelings,die Krankmeldung,sick note,बीमारी की सूचना
🍎 Food,die Kreide,chalk,चॉक
🐾 Animals,die Krähe,crow,कौआ
🏃 Verbs,die Kultur,culture,संस्कृति
🍎 Food,die Kundenzufriedenheit,customer satisfaction,ग्राहक संतुष्टि
📚 School & Learning,die Kunst,art,कला
🌳 Nature & Weather,die Kälte,cold,सर्दी
🏃 Verbs,die Köchin,chef (female),महिला शेफ
💼 Work & Job,die Kündigung,termination,नौकरी छोड़ना
👤 Pronouns,die Künstlerin,artist (female),कलाकार (महिला)
🌳 Nature & Weather,die Küste,coast,तट
🌳 Nature & Weather,die Landschaft,landscape,प्राकृतिक दृश्य
🚗 Transport & Travel,die Landung,landing,लैंडिंग
🍎 Food,die Langeweile,boredom,बोरियत
🏥 Health & Feelings,die Laune,mood,मूड
🏃 Verbs,die Lebens-,life (prefix),जीवन
👕 Clothing,die Leder,leather,चमड़ा
📚 School & Learning,die Lehrerin,teacher (female),शिक्षिका
👨‍👩‍👧 Family & People,die Leute (Pl.),people,लोग
🏃 Verbs,die Luftballons,balloons,गुब्बारे
🍎 Food,die Luftfeuchtigkeit,humidity,आर्द्रता
👤 Pronouns,die Luftverschmutzung,air pollution,वायु प्रदूषण
📋 Grammar & Reference,die Lust (Sg.),desire,इच्छा
🏃 Verbs,die Lösung,solution,समाधान
🏃 Verbs,die Lösung finden,to find a solution,समाधान ढूंढना
🏃 Verbs,die Lüge,lie,झूठ
🧍 Body Parts,die Magenprobleme,stomach problems,पेट की समस्या
📱 Communication,die Mailbox,voicemail,वॉइसमेल
👤 Pronouns,die Maniküre,manicure,मैनिक्योर
🐾 Animals,die Mannschaft,team,टीम
📚 School & Learning,die Mappe,folder,फोल्डर
🏃 Verbs,die Marke,brand,ब्रांड
🏃 Verbs,die Maschine,machine,मशीन
🏃 Verbs,die Maske,mask,मुखौटा
🏥 Health & Feelings,die Massage,massage,मालिश
📚 School & Learning,die Mathematik,mathematics,गणित
🚗 Transport & Travel,die Maut,toll,टोल
🔗 Adverbs & Connectors,die Medaille,medal,मेडल
🐾 Animals,die Medikamente,medication,दवाइयाँ
🏥 Health & Feelings,die Meditation,meditation,ध्यान
🏥 Health & Feelings,die Medizin nehmen,to take medicine,दवा लेना
🍎 Food,die Meinung,opinion,राय
🍎 Food,die Meisterschaft,championship,चैंपियनशिप
🏃 Verbs,die Melodie,melody,धुन
🏃 Verbs,die Menge,amount; crowd,मात्रा; भीड़
👤 Pronouns,die Messe,fair; mass,मेला; मास
🏃 Verbs,die Migration,migration,प्रवासन
🥤 Drinks,die Milch (Sg.),milk,दूध
🏙️ Places & City,die Mitte,middle,बीच
👕 Clothing,die Mode,fashion,फैशन
📚 School & Learning,die Musik (Sg.),music,संगीत
📚 School & Learning,die Musik hören,to listen to music,संगीत सुनना
📚 School & Learning,die Musikerin,musician (female),संगीतकार (महिला)
🏠 House & Furniture,die Möbel (Pl.),furniture,फर्नीचर
🐾 Animals,die Mücke,mosquito,मच्छर
🏥 Health & Feelings,die Müdigkeit,tiredness,थकान
🍽️ Kitchen Items,die Mülltonne,trash bin,कचरा डिब्बा
🍽️ Kitchen Items,die Mülltrennung,waste separation,कचरा अलग करना
👨‍👩‍👧 Family & People,die Nachbarschaft,neighborhood,पड़ोस
🍎 Food,die Nachhaltigkeit,sustainability,स्थिरता
✨ Adjectives,die Nachnahme,cash on delivery,कैश ऑन डिलीवरी
🍎 Food,die Nachspeise,dessert,मिठाई
🌳 Nature & Weather,die Natur (Sg.),nature,प्रकृति
🚗 Transport & Travel,die Navigation,navigation,नेविगेशन
🏠 House & Furniture,die Nebenkosten,utilities,अतिरिक्त खर्च
👤 Pronouns,die Nervosität,nervousness,घबराहट
👤 Pronouns,die Neugier,curiosity,जिज्ञासा
👤 Pronouns,die Niederlage,defeat,हार
✨ Adjectives,die Notaufnahme,emergency room,आपातकालीन विभाग
🏃 Verbs,die Notiz,note,नोट
🍎 Food,die Nudel,noodle,नूडल
👤 Pronouns,die Nummer,number,नंबर
👤 Pronouns,die Nummer wählen,to dial the number,नंबर डायल करना
🏃 Verbs,die Nuss,nut,मेवा
📋 Grammar & Reference,die Nähe (Sg.),vicinity,नज़दीकी
🧍 Body Parts,die Ohrringe,earrings,झुमके
🏙️ Places & City,die Oper,opera,ओपेरा
🏥 Health & Feelings,die Operation,operation,ऑपरेशन
🏃 Verbs,die Ordnung,order,क्रम
🏃 Verbs,die Organisation,organization,संगठन
🌳 Nature & Weather,die Orientierung,orientation,दिशा ज्ञान
🚗 Transport & Travel,die Panne,breakdown,खराबी
🎒 Personal Items,die Papiere (Pl.),papers,कागज़ात
🎒 Personal Items,die Papierkorb,waste paper basket,कागज़ की टोकरी
🎉 Celebrations,die Parade,parade,परेड
🚗 Transport & Travel,die Parkuhr,parking meter,पार्किंग मीटर
🍎 Food,die Partei,party (political),पार्टी
👨‍👩‍👧 Family & People,die Partnerschaft,partnership,साझेदारी
👕 Clothing,die Passform,fit,फिटिंग
🏥 Health & Feelings,die Patientin,patient (female),मरीज (महिला)
⏰ Time,die Pause machen,to take a break,ब्रेक लेना
🏃 Verbs,die Pediküre,pedicure,पेडीक्योर
🏃 Verbs,die Petition,petition,याचिका
👤 Pronouns,die Pflicht,duty,कर्तव्य
📚 School & Learning,die Physik,physics,भौतिकी
🏃 Verbs,die PIN,PIN,पिन
👤 Pronouns,die PIN-Nummer,PIN number,पिन नंबर
🍎 Food,die Pizza,pizza,पिज़्ज़ा
🏃 Verbs,die Plastiktüte,plastic bag,प्लास्टिक बैग
👤 Pronouns,die Plastiktüte verbieten,to ban plastic bags,प्लास्टिक बैग पर प्रतिबंध
🏃 Verbs,die Politik,politics,राजनीति
🍎 Food,die Polizei (Sg.),police,पुलिस
🍎 Food,die Portion,portion,पोर्शन
🏙️ Places & City,die Post (Sg.),post,डाक
🏙️ Places & City,die Postfiliale,post office branch,डाकघर शाखा
🏙️ Places & City,die Postkarte schicken,to send a postcard,पोस्टकार्ड भेजना
🍎 Food,die Postleit-,postal (prefix),डाक
🍎 Food,die Postleitzahl,postal code,पिन कोड
📱 Communication,die Präsentation,presentation,प्रेजेंटेशन
🍎 Food,die Prüfungsvorbereitung,exam preparation,परीक्षा तैयारी
💼 Work & Job,die Qualifikation,qualification,योग्यता
🏃 Verbs,die Qualität,quality,गुणवत्ता
🚗 Transport & Travel,die Raststätte,rest stop,रेस्ट स्टॉप
🐾 Animals,die Ratte,rat,चूहा
🏃 Verbs,die Raupe,caterpillar,इल्ली
🛒 Shopping & Money,die Rechnung bezahlen,to pay the bill,बिल चुकाना
👋 Greetings & Basics,die Rechnung bitte,the bill please,बिल प्लीज़
🍽️ Kitchen Items,die Recyclingtonne,recycling bin,रीसाइक्लिंग डिब्बा
👤 Pronouns,die Regierung,government,सरकार
🍎 Food,die Reihe,row; turn,पंक्ति; बारी
🍎 Food,die Reise,journey/trip,यात्रा
🍎 Food,die Reiseplanung,trip planning,यात्रा योजना
🍎 Food,die Reisetasche,travel bag,यात्रा बैग
🛒 Shopping & Money,die Reklamation,complaint,शिकायत
🏃 Verbs,die Reklame,advertisement,विज्ञापन
📚 School & Learning,die Religion,religion,धर्म
🐾 Animals,die Rente,pension/retirement,पेंशन
💼 Work & Job,die Rentnerin,retiree (female),पेंशनभोगी (महिला)
🏃 Verbs,die Reparatur,repair,मरम्मत
👤 Pronouns,die Reservierung,reservation,आरक्षण
🛒 Shopping & Money,die Retoure,return,वापसी
🍎 Food,die Rezeption,reception,रिसेप्शन
👤 Pronouns,die Richtung,direction,दिशा
🏃 Verbs,die Rose,rose,गुलाब
🏃 Verbs,die Routine,routine,रूटीन
📋 Grammar & Reference,die Ruhe (Sg.),quiet,शांति
🏃 Verbs,die Rutsche,slide,स्लाइड
🏃 Verbs,die Rückgabe,return,वापसी
🏃 Verbs,die Sache,thing,चीज़
⏰ Time,die Saison,season,सीज़न
🏥 Health & Feelings,die Salbe,ointment,मलहम
👕 Clothing,die Sandalen,sandals,सैंडल
🏃 Verbs,die Sandkasten,sandbox,रेत का डिब्बा
🏃 Verbs,die Sauna,sauna,सौना
🏃 Verbs,die Schaukel,swing,झूला
🏠 House & Furniture,die Schauspielerin,actress,अभिनेत्री
🍎 Food,die Scheidung,divorce,तलाक
🐾 Animals,die Schnecke,snail,घोंघा
📚 School & Learning,die Schulbildung,education,शिक्षा
🛒 Shopping & Money,die Schuld,debt,कर्ज
🛒 Shopping & Money,die Schulden,debts,कर्ज
📚 School & Learning,die Schule beginnen,school starts,स्कूल शुरू होना
👨‍👩‍👧 Family & People,die Schwiegermutter,mother-in-law,सास
👨‍👩‍👧 Family & People,die Schwiegertochter,daughter-in-law,बहू
👤 Pronouns,die Schwägerin,sister-in-law,ननद/भाभी
📚 School & Learning,die Schülerin,pupil (female),छात्रा
🏃 Verbs,die Sechs,grade 6 (worst),फेल
🌳 Nature & Weather,die See (Sg),sea,समुद्र
🏃 Verbs,die Sehens-,sight (prefix),दर्शन
🏃 Verbs,die Sehnsucht,longing,तड़प
🍎 Food,die Seide,silk,रेशम
🍎 Food,die Seife,soap,साबुन
🍎 Food,die Seite,page; side,पृष्ठ; तरफ
👤 Pronouns,die Sendung,shipment/broadcast,शिपमेंट/प्रसारण
👤 Pronouns,die Serie,series,सीरीज़
🍎 Food,die Sicherheitskontrolle,security check,सिक्योरिटी चेक
🏃 Verbs,die Situation,situation,स्थिति
🏃 Verbs,die Skulptur,sculpture,मूर्ति
📱 Communication,die Social Media,social media,सोशल मीडिया
🏃 Verbs,die Solaranlage,solar system,सौर प्रणाली
🔗 Adverbs & Connectors,die Solidarität,solidarity,एकजुटता
🍎 Food,die Sonne scheinen,the sun is shining,धूप निकलना
🏥 Health & Feelings,die Sorge,worry,चिंता
🏃 Verbs,die Spende,donation,दान
🏙️ Places & City,die Sportart,type of sport,खेल का प्रकार
🏃 Verbs,die Sprech-,speech (prefix),बोल
🏥 Health & Feelings,die Spritze,injection,इंजेक्शन
🏙️ Places & City,die Stadtbesichtigung,city tour,शहर का दौरा
🏙️ Places & City,die Stadtmitte,city center,शहर का केंद्र
🏃 Verbs,die Statue,statue,मूर्ति
🏠 House & Furniture,die Steckdose,socket,सॉकेट
🏠 House & Furniture,die Stehlampe,floor lamp,फ्लोर लैंप
🛒 Shopping & Money,die Steuer,tax,टैक्स
👨‍👩‍👧 Family & People,die Stiefmutter,stepmother,सौतेली माँ
👨‍👩‍👧 Family & People,die Stieftochter,stepdaughter,सौतेली बेटी
🏃 Verbs,die Stille,silence,खामोशी
🏃 Verbs,die Stimme,voice,आवाज़
🏥 Health & Feelings,die Stimmung,mood/atmosphere,माहौल
🏃 Verbs,die Strafe,fine,जुर्माना
🚗 Transport & Travel,die Straßen-,street (prefix),सड़क
📚 School & Learning,die Studentin,student (female),छात्रा (विश्वविद्यालय)
⏰ Time,die Stunde fahren,to drive for hours,घंटों ड्राइव करना
🏥 Health & Feelings,die Symptome,symptoms,लक्षण
👤 Pronouns,die Sängerin,singer (female),गायिका
🍎 Food,die Süßigkeiten,sweets,मिठाई
🏃 Verbs,die Tanzfläche,dance floor,डांस फ्लोर
📚 School & Learning,die Tanzmusik,dance music,नाच की संगीत
🐾 Animals,die Taube,pigeon,कबूतर
🎉 Celebrations,die Taufe,baptism,बपतिस्मा
🍎 Food,die Teilzeitstelle,part-time job,पार्ट टाइम नौकरी
🍎 Food,die Temperatur messen,to measure temperature,तापमान नापना
🏥 Health & Feelings,die Therapie,therapy,चिकित्सा
🌳 Nature & Weather,die Tierwelt,animal world,जानवरों की दुनिया
🏠 House & Furniture,die Tischlampe,table lamp,टेबल लैंप
🏙️ Places & City,die Toilette,toilet,शौचालय
👤 Pronouns,die Toleranz,tolerance,सहिष्णुता
🍎 Food,die Tomate,tomato,टमाटर
🏃 Verbs,die Tour,tour,टूर
📱 Communication,die Touristeninformation,tourist information,पर्यटक सूचना केंद्र
🏥 Health & Feelings,die Traurigkeit,sadness,उदासी
🎉 Celebrations,die Trauung,wedding ceremony,विवाह समारोह
🏃 Verbs,die Trennung,separation,अलग होना
🏃 Verbs,die Trommel,drum,ड्रम
🏃 Verbs,die Tulpe,tulip,ट्यूलिप
👤 Pronouns,die Turnhalle,gymnasium,जिम्नेजियम
👕 Clothing,die Turnschuhe,sneakers,स्नीकर्स
🍎 Food,die Uhrzeit,time (clock),समय (घड़ी)
📱 Communication,die Umfrage,survey/poll,सर्वे
🍎 Food,die Umkleidekabine,changing room,चेंजिंग रूम
🍎 Food,die Umleitung,diversion,डायवर्शन
🛒 Shopping & Money,die Umtausch,exchange,एक्सचेंज
