German,English,Hindi
die Freiheit,freedom,स्वतंत्रता
die Freizeit,free time,खाली समय
die Freizeit (Sg.),To be translated,अनुवाद किया जाना है
die Freizeitaktivität,leisure activity,खाली समय की गतिविधि
die Freude,joy,खुशी
die Freundschaft,friendship,दोस्ती
die Frist,deadline,डेडलाइन
die Frucht,fruit,फल
die Frustration,frustration,निराशा
die Fundsachen,To be translated,अनुवाद किया जाना है
die Fußgängerzone,pedestrian zone,पैदल क्षेत्र
die Führung,guided tour,गाइडेड टूर
die Galerie,gallery,गैलरी
die Gardine,curtain (net),पर्दा (जाली वाला)
die Gebühr,fee,शुल्क
die Gegenwart,present,वर्तमान
die Geige,violin,वायलिन
die Gelassenheit,calmness,शांति
die Genesung,recovery,ठीक होना
die Geografie,geography,भूगोल
die Geschenke,gifts,उपहार
die Geschichte,story,कहानी
die Geschwindigkeit,speed,गति
die Geschwindigkeitsbegrenzung,speed limit,गति सीमा
die Gesellschaft,society,समाज
die Gewohnheit,habit,आदत
die Gewürze,spices,मसाले
die Gitarre,guitar,गिटार
die Gitarre spielen,to play guitar,गिटार बजाना
die Gleichberechtigung,equality,समानता
die Glückwunschkarte,congratulation card,बधाई कार्ड
die Glühbirne,light bulb,बल्ब
die Grenze,border,सीमा
die Grillparty,barbecue party,बारबेक्यू पार्टी
die Grippe (Sg.),To be translated,अनुवाद किया जाना है
die Gruppe,To be translated,अनुवाद किया जाना है
die Gäste,guests,मेहमान
die Halle,To be translated,अनुवाद किया जाना है
die Handlung,plot,कहानी
die Hauptspeise,main course,मुख्य पकवान
die Hauptstadt,To be translated,अनुवाद किया जाना है
die Hausarbeit,housework,घरेलू काम
die Hausaufgaben,homework,होमवर्क
die Hecke,hedge,बाड़
die Heimat (Sg.),To be translated,अनुवाद किया जाना है
die Heizung,heating,हीटिंग
die Hilfe,help,मदद
die Hilfe (Sg.),To be translated,अनुवाद किया जाना है
die Hilfe leisten,to provide help,मदद प्रदान करना
die Hilfsorganisation,aid organization,सहायता संगठन
die Hitze,heat,गर्मी
die Hobbys,hobbies,शौक
die Hochschule,college,कॉलेज
die Hoffnung,hope,उम्मीद
die Homepage,To be translated,अनुवाद किया जाना है
die Hygiene,hygiene,स्वच्छता
die Händedesinfektion,hand disinfection,हाथ की सफाई
die Idee,idea,विचार
die Impfung,vaccination,टीका
die Information,information,जानकारी
die Integration,integration,एकीकरण
die Jeans (Pl.),To be translated,अनुवाद किया जाना है
die Jugend-,To be translated,अनुवाद किया जाना है
die Kabine,changing room,चेंजिंग रूम
die Kalorie,calorie,कैलोरी
die Kantine,canteen,कैंटीन
die Karneval,carnival,कार्निवल
die Karriere,career,करियर
die Karte kaufen,to buy a map,नक्शा खरीदना
die Karte schicken,to send a card,कार्ड भेजना
die Katastrophe,catastrophe,आपदा
die Kellnerin,waitress,वेट्रेस
die Kilometer,kilometers,किलोमीटर
die Klausur,exam,परीक्षा
die Kleidung (Sg.),To be translated,अनुवाद किया जाना है
die Klimaanlage,air conditioning,एयर कंडीशनिंग
die Knospe,bud,कली
die Kollegin,colleague (female),सहकर्मी (महिला)
die Kommode,chest of drawers,दराजों वाली अलमारी
die Konferenz,conference,कॉन्फ्रेंस
die Kontaktlinse,contact lens,कॉन्टैक्ट लेंस
die Kontonummer,account number,खाता संख्या
die Kopie,copy,कॉपी
die Korrektur,correction,सुधार
die Kosmetik,cosmetics,कॉस्मेटिक्स
die Kosmetik (Sg.),To be translated,अनुवाद किया जाना है
die Kraft,strength,शक्ति
die Kranken-,To be translated,अनुवाद किया जाना है
die Krankenkasse,health insurance,स्वास्थ्य बीमा
die Krankenschwester,nurse,नर्स
die Krankenversicherung,health insurance,स्वास्थ्य बीमा
die Krankmeldung,sick note,बीमारी की सूचना
die Kreide,chalk,चॉक
die Krähe,crow,कौआ
die Kultur,culture,संस्कृति
die Kundenzufriedenheit,customer satisfaction,ग्राहक संतुष्टि
die Kunst,art,कला
die Kälte,cold,सर्दी
die Köchin,chef (female),महिला शेफ
die Kündigung,termination,नौकरी छोड़ना
die Künstlerin,artist (female),कलाकार (महिला)
die Küste,coast,तट
die Landschaft,landscape,प्राकृतिक दृश्य
die Landung,landing,लैंडिंग
die Langeweile,boredom,बोरियत
die Laune,mood,मूड
die Lebens-,To be translated,अनुवाद किया जाना है
die Leder,leather,चमड़ा
die Lehrerin,teacher (female),शिक्षिका
die Leute (Pl.),To be translated,अनुवाद किया जाना है
die Luftballons,balloons,गुब्बारे
die Luftfeuchtigkeit,humidity,आर्द्रता
die Luftverschmutzung,air pollution,वायु प्रदूषण
die Lust (Sg.),To be translated,अनुवाद किया जाना है
die Lösung,solution,समाधान
die Lösung finden,to find a solution,समाधान ढूंढना
die Lüge,To be translated,अनुवाद किया जाना है
die Magenprobleme,stomach problems,पेट की समस्या
die Mailbox,voicemail,वॉइसमेल
die Maniküre,manicure,मैनिक्योर
die Mannschaft,team,टीम
die Mappe,folder,फोल्डर
die Marke,brand,ब्रांड
die Maschine,To be translated,अनुवाद किया जाना है
die Maske,mask,मुखौटा
die Massage,massage,मालिश
die Mathematik,mathematics,गणित
die Maut,toll,टोल
die Medaille,medal,मेडल
die Medikamente,medication,दवाइयाँ
die Meditation,meditation,ध्यान
die Medizin nehmen,to take medicine,दवा लेना
die Meinung,opinion,राय
die Meisterschaft,championship,चैंपियनशिप
die Melodie,melody,धुन
die Menge,To be translated,अनुवाद किया जाना है
die Messe,To be translated,अनुवाद किया जाना है
die Migration,migration,प्रवासन
die Milch (Sg.),To be translated,अनुवाद किया जाना है
die Mitte,To be translated,अनुवाद किया जाना है
die Mode,fashion,फैशन
die Musik (Sg.),To be translated,अनुवाद किया जाना है
die Musik hören,to listen to music,संगीत सुनना
die Musikerin,musician (female),संगीतकार (महिला)
die Möbel (Pl.),To be translated,अनुवाद किया जाना है
die Mücke,mosquito,मच्छर
die Müdigkeit,tiredness,थकान
die Mülltonne,trash bin,कचरा डिब्बा
die Mülltrennung,waste separation,कचरा अलग करना
die Nachbarschaft,neighborhood,पड़ोस
die Nachhaltigkeit,sustainability,स्थिरता
die Nachnahme,cash on delivery,कैश ऑन डिलीवरी
die Nachspeise,dessert,मिठाई
die Natur (Sg.),To be translated,अनुवाद किया जाना है
die Navigation,navigation,नेविगेशन
die Nebenkosten,utilities,अतिरिक्त खर्च
die Nervosität,nervousness,घबराहट
die Neugier,curiosity,जिज्ञासा
die Niederlage,defeat,हार
die Notaufnahme,emergency room,आपातकालीन विभाग
die Notiz,To be translated,अनुवाद किया जाना है
die Nudel,To be translated,अनुवाद किया जाना है
die Nummer,To be translated,अनुवाद किया जाना है
die Nummer wählen,to dial the number,नंबर डायल करना
die Nuss,nut,मेवा
die Nähe (Sg.),To be translated,अनुवाद किया जाना है
die Ohrringe,earrings,झुमके
die Oper,opera,ओपेरा
die Operation,operation,ऑपरेशन
die Ordnung,To be translated,अनुवाद किया जाना है
die Organisation,organization,संगठन
die Orientierung,orientation,दिशा ज्ञान
die Panne,breakdown,खराबी
die Papiere (Pl.),To be translated,अनुवाद किया जाना है
die Papierkorb,waste paper basket,कागज़ की टोकरी
die Parade,parade,परेड
die Parkuhr,parking meter,पार्किंग मीटर
die Partei,party (political),पार्टी
die Partnerschaft,partnership,साझेदारी
die Passform,fit,फिटिंग
die Patientin,patient (female),मरीज (महिला)
die Pause machen,to take a break,ब्रेक लेना
die Pediküre,pedicure,पेडीक्योर
die Petition,petition,याचिका
die Pflicht,duty,कर्तव्य
die Physik,physics,भौतिकी
die PIN,PIN,पिन
die PIN-Nummer,PIN number,पिन नंबर
die Pizza,To be translated,अनुवाद किया जाना है
die Plastiktüte,plastic bag,प्लास्टिक बैग
die Plastiktüte verbieten,to ban plastic bags,प्लास्टिक बैग पर प्रतिबंध
die Politik,politics,राजनीति
die Polizei (Sg.),To be translated,अनुवाद किया जाना है
die Portion,portion,पोर्शन
die Post (Sg.),To be translated,अनुवाद किया जाना है
die Postfiliale,post office branch,डाकघर शाखा
die Postkarte schicken,to send a postcard,पोस्टकार्ड भेजना
die Postleit-,To be translated,अनुवाद किया जाना है
die Postleitzahl,postal code,पिन कोड
die Präsentation,presentation,प्रेजेंटेशन
die Prüfungsvorbereitung,exam preparation,परीक्षा तैयारी
die Qualifikation,qualification,योग्यता
die Qualität,quality,गुणवत्ता
die Raststätte,rest stop,रेस्ट स्टॉप
die Ratte,rat,चूहा
die Raupe,caterpillar,इल्ली
die Rechnung bezahlen,to pay the bill,बिल चुकाना
die Rechnung bitte,the bill please,बिल प्लीज़
die Recyclingtonne,recycling bin,रीसाइक्लिंग डिब्बा
die Regierung,government,सरकार
die Reihe,To be translated,अनुवाद किया जाना है
die Reise,journey/trip,यात्रा
die Reiseplanung,trip planning,यात्रा योजना
die Reisetasche,travel bag,यात्रा बैग
die Reklamation,complaint,शिकायत
die Reklame,advertisement,विज्ञापन
die Religion,religion,धर्म
die Rente,pension/retirement,पेंशन
die Rentnerin,retiree (female),पेंशनभोगी (महिला)
die Reparatur,repair,मरम्मत
die Reservierung,reservation,आरक्षण
die Retoure,return,वापसी
die Rezeption,reception,रिसेप्शन
die Richtung,direction,दिशा
die Rose,rose,गुलाब
die Routine,routine,रूटीन
die Ruhe (Sg.),To be translated,अनुवाद किया जाना है
die Rutsche,slide,स्लाइड
die Rückgabe,return,वापसी
die Sache,thing,चीज़
die Saison,season,सीज़न
die Salbe,ointment,मलहम
die Sandalen,sandals,सैंडल
die Sandkasten,sandbox,रेत का डिब्बा
die Sauna,sauna,सौना
die Schaukel,swing,झूला
die Schauspielerin,actress,अभिनेत्री
die Scheidung,divorce,तलाक
die Schnecke,snail,घोंघा
die Schulbildung,education,शिक्षा
die Schuld,debt,कर्ज
die Schulden,debts,कर्ज
die Schule beginnen,school starts,स्कूल शुरू होना
die Schwiegermutter,mother-in-law,सास
die Schwiegertochter,daughter-in-law,बहू
die Schwägerin,sister-in-law,ननद/भाभी
die Schülerin,pupil (female),छात्रा
die Sechs,grade 6 (worst),फेल
die See (Sg),To be translated,अनुवाद किया जाना है
die Sehens-,To be translated,अनुवाद किया जाना है
die Sehnsucht,longing,तड़प
die Seide,silk,रेशम
die Seife,To be translated,अनुवाद किया जाना है
die Seite,To be translated,अनुवाद किया जाना है
die Sendung,shipment/broadcast,शिपमेंट/प्रसारण
die Serie,series,सीरीज़
die Sicherheitskontrolle,security check,सिक्योरिटी चेक
die Situation,To be translated,अनुवाद किया जाना है
die Skulptur,sculpture,मूर्ति
die Social Media,social media,सोशल मीडिया
die Solaranlage,solar system,सौर प्रणाली
die Solidarität,solidarity,एकजुटता
die Sonne scheinen,the sun is shining,धूप निकलना
die Sorge,worry,चिंता
die Spende,donation,दान
die Sportart,type of sport,खेल का प्रकार
die Sprech-,To be translated,अनुवाद किया जाना है
die Spritze,injection,इंजेक्शन
die Stadtbesichtigung,city tour,शहर का दौरा
die Stadtmitte,city center,शहर का केंद्र
die Statue,statue,मूर्ति
die Steckdose,socket,सॉकेट
die Stehlampe,floor lamp,फ्लोर लैंप
die Steuer,tax,टैक्स
die Stiefmutter,stepmother,सौतेली माँ
die Stieftochter,stepdaughter,सौतेली बेटी
die Stille,silence,खामोशी
die Stimme,voice,आवाज़
die Stimmung,mood/atmosphere,माहौल
die Strafe,fine,जुर्माना
die Straßen-,To be translated,अनुवाद किया जाना है
die Studentin,student (female),छात्रा (विश्वविद्यालय)
die Stunde fahren,to drive for hours,घंटों ड्राइव करना
die Symptome,symptoms,लक्षण
die Sängerin,singer (female),गायिका
die Süßigkeiten,To be translated,अनुवाद किया जाना है
die Tanzfläche,dance floor,डांस फ्लोर
die Tanzmusik,dance music,नाच की संगीत
die Taube,pigeon,कबूतर
die Taufe,baptism,बपतिस्मा
die Teilzeitstelle,part-time job,पार्ट टाइम नौकरी
die Temperatur messen,to measure temperature,तापमान नापना
die Therapie,therapy,चिकित्सा
die Tierwelt,animal world,जानवरों की दुनिया
die Tischlampe,table lamp,टेबल लैंप
die Toilette,toilet,शौचालय
die Toleranz,tolerance,सहिष्णुता
die Tomate,tomato,टमाटर
die Tour,tour,टूर
die Touristeninformation,tourist information,पर्यटक सूचना केंद्र
die Traurigkeit,sadness,उदासी
die Trauung,wedding ceremony,विवाह समारोह
die Trennung,separation,अलग होना
die Trommel,drum,ड्रम
die Tulpe,tulip,ट्यूलिप
die Turnhalle,gymnasium,जिम्नेजियम
die Turnschuhe,sneakers,स्नीकर्स
die Uhrzeit,time (clock),समय (घड़ी)
die Umfrage,survey/poll,सर्वे
die Umkleidekabine,changing room,चेंजिंग रूम
die Umleitung,diversion,डायवर्शन
die Umtausch,exchange,एक्सचेंज
die Umwelt,environment,पर्यावरण
die Umweltverschmutzung,environmental pollution,पर्यावरण प्रदूषण
die Universität,university,विश्वविद्यालय
die Unsicherheit,uncertainty,अनिश्चितता
die Unterkunft,To be translated,अनुवाद किया जाना है
die Unterschrift sammeln,to collect signatures,हस्ताक्षर इकट्ठा करना
die Untersuchung,examination,जाँच
die Untertitel,subtitles,उपशीर्षक
die Verabredung,appointment,अपॉइंटमेंट
die Veranstal-,To be translated,अनुवाद किया जाना है
die Veranstaltung,event,कार्यक्रम
die Vergangenheit,past,अतीत
die Verletzung,injury,चोट
die Verlobung,engagement,सगाई
die Verschmutzung,pollution,प्रदूषण
die Versicherung,insurance,बीमा
die Versicherungskarte,insurance card,बीमा कार्ड
die Verwandtschaft,family/relatives,रिश्तेदारी
die Verzögerung,delay,देरी
die Veränderung,change,बदलाव
die Vielfalt,diversity,विविधता
die Vignette,toll sticker,टोल स्टिकर
die Vitamine,vitamins,विटामिन
die Vokabel,vocabulary word,शब्द
die Vollzeitstelle,full-time job,पूर्णकालिक नौकरी
die Vorfahrt,right of way,प्राथमिकता
die Vorlesung,lecture,व्याख्यान
die Vorsicht,caution,सावधानी
die Vorsätze,New Year's resolutions,नए साल के संकल्प
die Vorwahl,area code,एरिया कोड
die Waage,scales,तराज़ू
die Wahl,election,चुनाव
die Wahlurne,ballot box,मतपेटी
die Waldbrand,forest fire,जंगल की आग
die Wartezimmer,waiting room,वेटिंग रूम
die Website,website,वेबसाइट
die Wellness,wellness,वेलनेस
die Welt,To be translated,अनुवाद किया जाना है
die Werbung,advertisement,विज्ञापन
die Wettervorhersage,weather forecast,मौसम पूर्वानुमान
die Wildkatze,wildcat,जंगली बिल्ली
die Windenergie,wind energy,पवन ऊर्जा
die Wolle,wool,ऊन
die Wunde,wound,घाव
die Wurzel,root,जड़
die Wut,anger,गुस्सा
die Währung,currency,मुद्रा
die Wäsche,To be translated,अनुवाद किया जाना है
die Wüste,desert,रेगिस्तान
die Yoga,yoga,योग
die Zahl,To be translated,अनुवाद किया जाना है
die Zahlung,payment,भुगतान
die Zahnbürste,toothbrush,टूथब्रश
die Zahnpasta,toothpaste,टूथपेस्ट
die Zeichnung,drawing,ड्राइंग
die Zeit,To be translated,अनुवाद किया जाना है
die Zeitspanne,time period,समय अवधि
die Zeitung,newspaper,अखबार
die Zeitung lesen,to read the newspaper,अखबार पढ़ना
die Zeitzone,time zone,समय क्षेत्र
die Zollkontrolle,customs control,कस्टम कंट्रोल
die Zone,zone,क्षेत्र
die Zufriedenheit,satisfaction,संतुष्टि
die Zukunft,future,भविष्य
die Zuschauerin,spectator (female),दर्शक (स्त्री)
die Zutaten,ingredients,सामग्री
die Öffnungszeiten,opening hours,खुलने का समय
die Übelkeit,nausea,मतली
die Über-,To be translated,अनुवाद किया जाना है
die Übernachtung,overnight stay,रात रुकना
die Überschrift,headline,शीर्षक
die Überschwemmung,flood,बाढ़
die Überstunde,overtime,ओवरटाइम
die Überweisung,bank transfer,ट्रांसफर
direkt,To be translated,अनुवाद किया जाना है
diskutieren,To be translated,अनुवाद किया जाना है
dium,To be translated,अनुवाद किया जाना है
dringend,To be translated,अनुवाद किया जाना है
drüben,To be translated,अनुवाद किया जाना है
drücken,To be translated,अनुवाद किया जाना है
dumm,To be translated,अनुवाद किया जाना है
durchfallen,to fail (exam),फेल होना
durfte,To be translated,अनुवाद किया जाना है
duschen (sich),To be translated,अनुवाद किया जाना है
duscht,To be translated,अनुवाद किया जाना है
dünsten,to steam,स्टीम करना
echt,To be translated,अनुवाद किया जाना है
egal,To be translated,अनुवाद किया जाना है
eigen-,To be translated,अनुवाद किया जाना है
eilig,To be translated,अनुवाद किया जाना है
ein paar,To be translated,अनुवाद किया जाना है
einchecken,to check in,चेक इन करना
einfach,To be translated,अनुवाद किया जाना है
einig-,To be translated,अनुवाद किया जाना है
einkaufen,To be translated,अनुवाद किया जाना है
einkaufen gehen,to go shopping,खरीदारी करने जाना
einmal,To be translated,अनुवाद किया जाना है
einpacken,To be translated,अनुवाद किया जाना है
einschlafen,to fall asleep,सो जाना
eintragen (sich),To be translated,अनुवाद किया जाना है
einzahlen,to deposit money,पैसे जमा करना
einzel-,To be translated,अनुवाद किया जाना है
einziehen,To be translated,अनुवाद किया जाना है
empfehlen,To be translated,अनुवाद किया जाना है
enden,To be translated,अनुवाद किया जाना है
entscheiden,to decide,निर्णय लेना
entschuldigen,To be translated,अनुवाद किया जाना है
entspannen,to relax,आराम करना
erinnern (sich),to remember,याद करना
erinnert,To be translated,अनुवाद किया जाना है
erkältet sein,To be translated,अनुवाद किया जाना है
erlauben,To be translated,अनुवाद किया जाना है
erlaubt sein,To be translated,अनुवाद किया जाना है
erleichtert,relieved,राहत महसूस
erreichen,To be translated,अनुवाद किया जाना है
erreicht,To be translated,अनुवाद किया जाना है
erst,To be translated,अनुवाद किया जाना है
erziehen,to raise (children),पालन-पोषण
fallen,To be translated,अनुवाद किया जाना है
fantastisch,To be translated,अनुवाद किया जाना है
faul,To be translated,अनुवाद किया जाना है
fehlen,To be translated,अनुवाद किया जाना है
Feierabend machen,to finish work,काम खत्म करना
feiern,To be translated,अनुवाद किया जाना है
fertig sein,To be translated,अनुवाद किया जाना है
fett,To be translated,अनुवाद किया जाना है
feucht,humid,नम
fit sein,To be translated,अनुवाद किया जाना है
fleißig,To be translated,अनुवाद किया जाना है
fliegt (ab),To be translated,अनुवाद किया जाना है
fotografieren,to take a photo,फोटो खींचना
freiwillig,To be translated,अनुवाद किया जाना है
fremd,To be translated,अनुवाद किया जाना है
freut,To be translated,अनुवाद किया जाना है
frisch,fresh,ताज़ा
furchtbar,To be translated,अनुवाद किया जाना है
fährt (ab),To be translated,अनुवाद किया जाना है
fängt an,To be translated,अनुवाद किया जाना है
fühlt,To be translated,अनुवाद किया जाना है
gang,To be translated,अनुवाद किया जाना है
geben/sagen),To be translated,अनुवाद किया जाना है
geboren,To be translated,अनुवाद किया जाना है
Geburts-,To be translated,अनुवाद किया जाना है
geehrt-,To be translated,अनुवाद किया जाना है
gefallen,To be translated,अनुवाद किया जाना है
gefährlich,To be translated,अनुवाद किया जाना है
gegenüber,To be translated,अनुवाद किया जाना है
geht aus,To be translated,अनुवाद किया जाना है
gehängt,To be translated,अनुवाद किया जाना है
gehören,To be translated,अनुवाद किया जाना है
genug,To be translated,अनुवाद किया जाना है
gern,To be translated,अनुवाद किया जाना है
gesund essen,to eat healthy,स्वस्थ खाना
gesund leben,to live healthy,स्वस्थ जीवन जीना
gewesen,To be translated,अनुवाद किया जाना है
gewinnen,to win,जीतना
gewinnt,To be translated,अनुवाद किया जाना है
gibt ab,To be translated,अनुवाद किया जाना है
gibt aus,To be translated,अनुवाद किया जाना है
gleich,To be translated,अनुवाद किया जाना है
grillen,To be translated,अनुवाद किया जाना है
gute Laune,good mood,अच्छा मूड
gültig sein,To be translated,अनुवाद किया जाना है
halten,To be translated,अनुवाद किया जाना है
hart,To be translated,अनुवाद किया जाना है
hat abgeholt,To be translated,अनुवाद किया जाना है
hat abgeschlossen,To be translated,अनुवाद किया जाना है
hat angeboten,To be translated,अनुवाद किया जाना है
hat angefangen,To be translated,अनुवाद किया जाना है
hat angemeldet,To be translated,अनुवाद किया जाना है
hat angerufen,To be translated,अनुवाद किया जाना है
hat angesehen,To be translated,अनुवाद किया जाना है
hat aufgehört,To be translated,अनुवाद किया जाना है
hat aufgepasst,To be translated,अनुवाद किया जाना है
hat ausgesehen,To be translated,अनुवाद किया जाना है
hat beantwortet,To be translated,अनुवाद किया जाना है
hat bedeutet,To be translated,अनुवाद किया जाना है
hat begonnen,To be translated,अनुवाद किया जाना है
hat beraten,To be translated,अनुवाद किया जाना है
hat beschwert,To be translated,अनुवाद किया जाना है
hat besichtigt,To be translated,अनुवाद किया जाना है
hat bestanden,To be translated,अनुवाद किया जाना है
hat bestellt,To be translated,अनुवाद किया जाना है
hat diskutiert,To be translated,अनुवाद किया जाना है
hat eingetragen,To be translated,अनुवाद किया जाना है
hat erinnert,To be translated,अनुवाद किया जाना है
hat erlaubt,To be translated,अनुवाद किया जाना है
hat erreicht,To be translated,अनुवाद किया जाना है
hat erzählt,To be translated,अनुवाद किया जाना है
hat gearbeitet,To be translated,अनुवाद किया जाना है
hat gebadet,To be translated,अनुवाद किया जाना है
hat gebraten,To be translated,अनुवाद किया जाना है
hat gebraucht,To be translated,अनुवाद किया जाना है
hat gedacht,To be translated,अनुवाद किया जाना है
hat gedrückt,To be translated,अनुवाद किया जाना है
hat gedurft,To be translated,अनुवाद किया जाना है
hat geduscht,To be translated,अनुवाद किया जाना है
hat geendet,To be translated,अनुवाद किया जाना है
hat gefallen,To be translated,अनुवाद किया जाना है
hat gefehlt,To be translated,अनुवाद किया जाना है
hat gefeiert,To be translated,अनुवाद किया जाना है
hat gefragt,To be translated,अनुवाद किया जाना है
hat gefreut,To be translated,अनुवाद किया जाना है
hat gefunden,To be translated,अनुवाद किया जाना है
hat gegeben,To be translated,अनुवाद किया जाना है
hat gegessen,To be translated,अनुवाद किया जाना है
hat geglaubt,To be translated,अनुवाद किया जाना है
hat gehalten,To be translated,अनुवाद किया जाना है
hat gehangen/,To be translated,अनुवाद किया जाना है
hat geheiratet,To be translated,अनुवाद किया जाना है
hat geheißen,To be translated,अनुवाद किया जाना है
hat geholfen,To be translated,अनुवाद किया जाना है
hat geholt,To be translated,अनुवाद किया जाना है
hat gehört,To be translated,अनुवाद किया जाना है
hat gekannt,To be translated,अनुवाद किया जाना है
hat gekauft,To be translated,अनुवाद किया जाना है
hat geklappt,To be translated,अनुवाद किया जाना है
hat gekostet,To be translated,अनुवाद किया जाना है
hat gekündigt,To be translated,अनुवाद किया जाना है
hat gelassen,To be translated,अनुवाद किया जाना है
hat gelebt,To be translated,अनुवाद किया जाना है
hat gelegt,To be translated,अनुवाद किया जाना है
hat geliehen,To be translated,अनुवाद किया जाना है
hat gelogen,To be translated,अनुवाद किया जाना है
hat gemacht,To be translated,अनुवाद किया जाना है
hat gemalt,To be translated,अनुवाद किया जाना है
hat gemeint,To be translated,अनुवाद किया जाना है
hat gemerkt,To be translated,अनुवाद किया जाना है
hat gemocht,To be translated,अनुवाद किया जाना है
hat genannt,To be translated,अनुवाद किया जाना है
hat genommen,To be translated,अनुवाद किया जाना है
hat geparkt,To be translated,अनुवाद किया जाना है
hat gepasst,To be translated,अनुवाद किया जाना है
hat geplant,To be translated,अनुवाद किया जाना है
hat geraten,To be translated,अनुवाद किया जाना है
hat geraucht,To be translated,अनुवाद किया जाना है
hat gerechnet,To be translated,अनुवाद किया जाना है
hat geredet,To be translated,अनुवाद किया जाना है
hat gerochen,To be translated,अनुवाद किया जाना है
hat gerufen,To be translated,अनुवाद किया जाना है
hat gesagt,To be translated,अनुवाद किया जाना है
hat geschafft,To be translated,अनुवाद किया जाना है
hat geschenkt,To be translated,अनुवाद किया जाना है
hat geschickt,To be translated,अनुवाद किया जाना है
hat geschienen,To be translated,अनुवाद किया जाना है
hat geschimpft,To be translated,अनुवाद किया जाना है
hat geschlafen,To be translated,अनुवाद किया जाना है
hat geschlossen,To be translated,अनुवाद किया जाना है
hat geschmeckt,To be translated,अनुवाद किया जाना है
hat geschnitten,To be translated,अनुवाद किया जाना है
hat geschrieben,To be translated,अनुवाद किया जाना है
hat gesehen,To be translated,अनुवाद किया जाना है
hat gespart,To be translated,अनुवाद किया जाना है
hat gespeichert,To be translated,अनुवाद किया जाना है
hat gespielt,To be translated,अनुवाद किया जाना है
hat gestellt,To be translated,अनुवाद किया जाना है
hat gestritten,To be translated,अनुवाद किया जाना है
hat gestört,To be translated,अनुवाद किया जाना है
hat gesucht,To be translated,अनुवाद किया जाना है
hat gesungen,To be translated,अनुवाद किया जाना है
hat getan,To be translated,अनुवाद किया जाना है
hat geteilt,To be translated,अनुवाद किया जाना है
hat getragen,To be translated,अनुवाद किया जाना है
hat getrunken,To be translated,अनुवाद किया जाना है
hat gewartet,To be translated,अनुवाद किया जाना है
hat geweckt,To be translated,अनुवाद किया जाना है
hat geweint,To be translated,अनुवाद किया जाना है
hat gewusst,To be translated,अनुवाद किया जाना है
hat gewählt,To be translated,अनुवाद किया जाना है
hat gezahlt,To be translated,अनुवाद किया जाना है
hat gezeichnet,To be translated,अनुवाद किया जाना है
hat gezeigt,To be translated,अनुवाद किया जाना है
hat geändert,To be translated,अनुवाद किया जाना है
hat geöffnet,To be translated,अनुवाद किया जाना है
hat geübt,To be translated,अनुवाद किया जाना है
hat hergestellt,To be translated,अनुवाद किया जाना है
hat interessiert,To be translated,अनुवाद किया जाना है
hat kontrolliert,To be translated,अनुवाद किया जाना है
hat leidgetan,To be translated,अनुवाद किया जाना है
hat probiert,To be translated,अनुवाद किया जाना है
hat recht gehabt,To be translated,अनुवाद किया जाना है
hat renoviert,To be translated,अनुवाद किया जाना है
hat stattgefunden,To be translated,अनुवाद किया जाना है
hat unterhalten,To be translated,अनुवाद किया जाना है
hat untersucht,To be translated,अनुवाद किया जाना है
hat verdient,To be translated,अनुवाद किया जाना है
hat vereinbart,To be translated,अनुवाद किया जाना है
hat vergessen,To be translated,अनुवाद किया जाना है
hat verglichen,To be translated,अनुवाद किया जाना है
hat verkauft,To be translated,अनुवाद किया जाना है
hat verletzt,To be translated,अनुवाद किया जाना है
hat verliebt,To be translated,अनुवाद किया जाना है
hat verloren,To be translated,अनुवाद किया जाना है
hat verpasst,To be translated,अनुवाद किया जाना है
hat verschoben,To be translated,अनुवाद किया जाना है
hat verstanden,To be translated,अनुवाद किया जाना है
hat versucht,To be translated,अनुवाद किया जाना है
hat vorbereitet,To be translated,अनुवाद किया जाना है
hat vorgestellt,To be translated,अनुवाद किया जाना है
hat zugehört,To be translated,अनुवाद किया जाना है
hat übernachtet,To be translated,अनुवाद किया जाना है
hat/ist,To be translated,अनुवाद किया जाना है
hat/ist gelegen,To be translated,अनुवाद किया जाना है
hat/ist gesessen,To be translated,अनुवाद किया जाना है
hat/ist gestanden,To be translated,अनुवाद किया जाना है
hat/ist gesurft,To be translated,अनुवाद किया जाना है
hatte,To be translated,अनुवाद किया जाना है
Hausmann,To be translated,अनुवाद किया जाना है
heiraten,To be translated,अनुवाद किया जाना है
heiß,hot,गर्म
heißen,To be translated,अनुवाद किया जाना है
her/her-/-her,To be translated,अनुवाद किया जाना है
heraus/raus,To be translated,अनुवाद किया जाना है
herberge,To be translated,अनुवाद किया जाना है
herein/rein,To be translated,अनुवाद किया जाना है
herstellen,To be translated,अनुवाद किया जाना है
herzlich,To be translated,अनुवाद किया जाना है
heute Abend,tonight,आज रात
Heute ist der 20.2.2012,To be translated,अनुवाद किया जाना है
hin/hin-/-hin,To be translated,अनुवाद किया जाना है
hoffentlich,To be translated,अनुवाद किया जाना है
hängen,To be translated,अनुवाद किया जाना है
hört auf,To be translated,अनुवाद किया जाना है
immer,To be translated,अनुवाद किया जाना है
informieren,To be translated,अनुवाद किया जाना है
informiert,To be translated,अनुवाद किया जाना है
ins Bett gehen,to go to bed,सोने जाना
intelligent,To be translated,अनुवाद किया जाना है
interessiert,To be translated,अनुवाद किया जाना है
