German,English,Hindi
der Hai,shark 🦈,शार्क
der Hals,neck / throat,गर्दन / गला
der Hamburger,To be translated,अनुवाद किया जाना है
der Hamster,hamster 🐹,हैम्स्टर
der Handschuh,glove 🧤,दस्ताना
der Hase,hare/rabbit,खरगोश
der Hass,hate,नफरत
der Haushalt,To be translated,अनुवाद किया जाना है
der Hausschlüssel,house key 🏠🔑,घर की चाबी
der Helm,helmet,हेलमेट
der Herbst,autumn / fall 🍂,पतझड़
der Herd,stove,चूल्हा
der Herr,Mr. / Sir,श्रीमान
der Himmel,sky,आसमान
der Himmel (Sg.),To be translated,अनुवाद किया जाना है
der Hirsch,deer 🦌,हिरण
der Hund,dog 🐕,कुत्ता
der Hunger,hunger,भूख
der Hunger (Sg.),To be translated,अनुवाद किया जाना है
der Husten,cough,खाँसी
der Hut,hat 🎩,हैट
der Hügel,hill,पहाड़ी
der Igel,hedgehog,साही
der Imbiss,snack bar / fast food,स्नैक बार
der Jahrestag,anniversary,सालगिरह
der Job,job,नौकरी
der Joghurt,yogurt,दही
der Jugendliche,teenager / youth,किशोर
der Junge,boy 👦,लड़का
der Kaffee,coffee ☕,कॉफ़ी
der Kakao,hot chocolate 🍫,कोको / हॉट चॉकलेट
der Kalender,calendar,कैलेंडर
der Kamm,comb,कंघी
der Kanal,channel,चैनल
der Kassenbon,receipt,रसीद
der Kassenzettel,receipt,रसीद
der Keller,basement / cellar,तहखाना
der Kellner,waiter,वेटर
der Kindergarten,kindergarten,किंडरगार्टन
der Kiosk,To be translated,अनुवाद किया जाना है
der Kleber,glue,गोंद
der Kleiderschrank,wardrobe (clothes),कपड़ों की अलमारी
der Klimaschutz,climate protection,जलवायु संरक्षण
der Klimawandel,climate change,जलवायु परिवर्तन
der Knoblauch,garlic,लहसुन
der Knochen,bone 🦴,हड्डी
der Koch,chef,शेफ
der Kochlöffel,cooking spoon / ladle,कड़छी
der Koffer,suitcase,सूटकेस
der Kollege,colleague (male),सहकर्मी (पुरुष)
der Kommentar,comment,कमेंट
der Kompass,compass,कंपास
der Kontakt,contact,संपर्क
der Kontoauszug,bank statement,खाता विवरण
der Kontostand,account balance,खाता शेष
der Kopf,head,सिर
der Kopfhörer,headphones 🎧,हेडफ़ोन
der Korb,basket 🧺,टोकरी
der Krankenwagen,ambulance,एम्बुलेंस
der Kredit,loan,लोन
der Krimi,crime story,अपराध कहानी
der Kuchen,cake,केक
der Kunde,customer (m),ग्राहक (पुरुष)
der Kurs,course,कोर्स
der Käfer,beetle,भृंग
der Käse,cheese,पनीर
der Käse (Sg.),To be translated,अनुवाद किया जाना है
der Körper,body 🧍,शरीर
der Kühlschrank,refrigerator 🧊,फ्रिज
der Künstler,artist,कलाकार
der Laden,shop / store,दुकान
der Lappen,cloth,कपड़ा
der Laptop,laptop,लैपटॉप
der Lebenslauf,CV / resume 📄,बायोडाटा
der Lehrer,teacher (male),शिक्षक
der Lernstoff,study material,पाठ्यक्रम
der Like,like,लाइक
der Link,To be translated,अनुवाद किया जाना है
der Liter,liter,लीटर
der Lohn,wage / pay,मज़दूरी
der Luchs,lynx,लिंक्स
der Luftballon,balloon,गुब्बारा
der Lärm,noise,शोर
der Löffel,spoon 🥄,चम्मच
der Löwe,lion 🦁,शेर
der Magen,To be translated,अनुवाद किया जाना है
der Mann,man / husband 👨,आदमी / पति
der Mantel,coat 🧥,कोट
der Marder,marten,मार्टन
der Markt,market,बाज़ार
der Marktplatz,market square,मार्केट चौक
der Maulwurf,mole,छछूंदर
der Meister,champion,चैंपियन
der Mensch,To be translated,अनुवाद किया जाना है
der Metzger,butcher,कसाई
der Mitarbeiter,To be translated,अनुवाद किया जाना है
der Mittag,noon / midday 🌞,दोपहर
der Mixer,mixer / blender,मिक्सर
der Moderator,host/presenter,होस्ट
der Moment,To be translated,अनुवाद किया जाना है
der Monat,month,महीना
der Mond,moon 🌙,चाँद
der Morgen,morning 🌅,सुबह
der Motor,To be translated,अनुवाद किया जाना है
der Motorroller,To be translated,अनुवाद किया जाना है
der Mund,mouth 👄,मुँह
der Musiker,musician,संगीतकार
der Müll,rubbish/garbage,कचरा
der Müll (Sg.),To be translated,अनुवाद किया जाना है
der Mülleimer,trash can 🗑️,कूड़ेदान
der Nachbar,neighbor (m),पड़ोसी (पुरुष)
der Nachhilfe,tutoring,ट्यूशन
der Nachmittag,afternoon,दोपहर बाद
der Nachname,last name / surname,उपनाम
der Nachtisch,dessert,मीठा
der Nachttisch,bedside table,बेडसाइड टेबल
der Name,name,नाम
der Nebel,fog 🌫️,कोहरा
der Neffe,nephew,भतीजा / भांजा
der Notarzt,emergency doctor,इमरजेंसी डॉक्टर
der Ofen,oven,ओवन
der Ohrring,earring,बाली
der Onkel,uncle,चाचा / मामा / काका
der Opa,grandpa 👴,दादा / नाना
der Optiker,optician,ऑप्टिशियन
der Orangensaft,orange juice 🍊,संतरे का जूस
der Ordner,folder,फ़ोल्डर
der Ort,To be translated,अनुवाद किया जाना है
der Osterhase,Easter bunny,ईस्टर बनी
der Otter,otter,ऊद
der Papa,dad (informal),पापा
der Papagei,parrot,तोता
der Park,park 🌳,पार्क
der Parkplatz,parking lot 🅿️,पार्किंग
der Partner,partner (m),साथी (पुरुष)
der Pass,passport 🛂,पासपोर्ट
der Passagier,passenger,यात्री
der Passkontrolle,passport control,पासपोर्ट कंट्रोल
der Patient,patient,मरीज
der Personalausweis,ID card,आईडी कार्ड
der Pfeffer,pepper,काली मिर्च
der Pfirsich,peach,आड़ू
der Pilz,mushroom,मशरूम
der Pinguin,penguin 🐧,पेंगुइन
der Plan,plan,योजना
der Platz,square / plaza,चौक
der Podcast,podcast,पॉडकास्ट
der Pokal,trophy,ट्रॉफी
der Politiker,politician,राजनेता
der Preis,price,कीमत
der Prospekt,To be translated,अनुवाद किया जाना है
der Pullover,sweater,स्वेटर
der Puls,pulse,नाड़ी
der Pyjama,pyjamas,पायजामा
der Rabatt,discount,छूट
der Rabe,raven,कौआ
der Radiergummi,eraser,रबड़
der Ranzen,school bag,स्कूल बैग
der Rasen,lawn,लॉन
der Raum,To be translated,अनुवाद किया जाना है
der Regen,rain 🌧️,बारिश
der Regen (Sg.),To be translated,अनुवाद किया जाना है
der Regenbogen,rainbow 🌈,इंद्रधनुष
der Regenschirm,umbrella ☂️,छाता
der Regisseur,director,निर्देशक
der Reifen,To be translated,अनुवाद किया जाना है
der Reis,rice,चावल
der Reis (Sg.),To be translated,अनुवाद किया जाना है
der Reiseführer,To be translated,अनुवाद किया जाना है
der Reisepass,passport,पासपोर्ट
der Rekord,record,रिकॉर्ड
der Rentner,retiree (male),पेंशनभोगी
der Rest,To be translated,अनुवाद किया जाना है
der Rhythmus,rhythm,ताल
der Ring,ring 💍,अंगूठी
der Rock,skirt,स्कर्ट
der Roman,novel,उपन्यास
der Rotwein,red wine 🍷,लाल वाइन
der Rucksack,backpack 🎒,बैकपैक
der Rundgang,To be translated,अनुवाद किया जाना है
der Röntgen,X-ray,एक्स-रे
der Rücken,back,पीठ
der Saft,juice 🧃,जूस
der Salat,salad,सलाद
der Saldo,balance,शेष राशि
der Satz,sentence,वाक्य
der Schal,scarf 🧣,मफलर / गमछा
der Schalter,switch,स्विच
der Schatten,shadow,छाया
der Schauspieler,actor,अभिनेता
der Schein,banknote 💵,नोट
der Schiedsrichter,referee,रेफरी
der Schinken,ham,हैम
der Schirm,To be translated,अनुवाद किया जाना है
der Schlaf,sleep,नींद
der Schluss,To be translated,अनुवाद किया जाना है
der Schlüssel,key 🔑,चाबी
der Schmerz,pain,दर्द
der Schmetterling,butterfly 🦋,तितली
der Schmuck,jewelry 💍,गहने
der Schnee,snow ❄️,बर्फ
der Schnee (Sg.),To be translated,अनुवाद किया जाना है
der Schnupfen,runny nose / cold,नज़ला / सर्दी
der Schrank,cupboard / wardrobe,अलमारी
der Schuh,shoe 👞,जूता
der Schwager,brother-in-law,जीजा/देवर
der Schwamm,sponge,स्पंज
der Schwan,swan,हंस
der Schwanz,tail,पूँछ
der schwarze Tee,black tea,काली चाय
der Schwiegersohn,son-in-law,दामाद
der Schwiegervater,father-in-law,ससुर
der Schwindel,dizziness,चक्कर
der Schüler,pupil (male),छात्र
der See,lake,झील
der Sekt,sparkling wine 🍾,शैम्पेन
der Sender,station,स्टेशन
der Service (Sg.),To be translated,अनुवाद किया जाना है
der Sessel,armchair,आराम कुर्सी
der Sieg,victory,जीत
der Sitzplatz,seat,सीट
der Ski,To be translated,अनुवाद किया जाना है
der Smoothie,smoothie,स्मूथी
der Sohn,son 👦,बेटा
der Sommer,summer ☀️,गर्मी
der Sonnenschein,sunshine,धूप
der Sonnenschirm,sunshade,सनशेड
der Spatz,sparrow,गौरैया
der Spazier-,To be translated,अनुवाद किया जाना है
der Spaziergang,walk,सैर
der Spaß (Sg.),To be translated,अनुवाद किया जाना है
der Specht,woodpecker,कठफोड़वा
der Spiegel,mirror 🪞,आईना
der Spieler,player,खिलाड़ी
der Spielplatz,playground,खेल का मैदान
der Spinat,spinach,पालक
der Sport,sports,खेल
der Sport (Sg.),To be translated,अनुवाद किया जाना है
der Sport treiben,to do sports,खेल करना
der Sportplatz,sports field,खेल का मैदान
der Sportunterricht,PE lesson,शारीरिक शिक्षा
der Staat,state,राज्य
der Stadtführer,city guide,शहर गाइड
der Stadtplan,city map,शहर का नक्शा
der Stamm,trunk,तना
der Star,To be translated,अनुवाद किया जाना है
der Stau,traffic jam,ट्रैफिक जाम
der Staub,dust,धूल
der Staubsauger,vacuum cleaner,वैक्यूम क्लीनर
der Stecker,plug,प्लग
der Stein,stone / rock 🪨,पत्थर
der Stern,star ⭐,तारा
der Stiefel,boot 👢,बूट
der Stiefsohn,stepson,सौतेला बेटा
der Stiefvater,stepfather,सौतेले पिता
der Stift,pen / pencil ✏️,कलम / पेंसिल
der Stock,To be translated,अनुवाद किया जाना है
der Stoff,fabric,कपड़ा
der Storch,stork,सारस
der Strand,beach 🏖️,समुद्र तट
der Streit,argument,झगड़ा
der Stress,stress,तनाव
der Stress (Sg.),To be translated,अनुवाद किया जाना है
der Student,student (male),छात्र (विश्वविद्यालय)
der Stuhl,chair 🪑,कुर्सी
der Stundenplan,timetable,समय-सारणी
der Sturm,storm 🌪️,तूफ़ान
der Supermarkt,supermarket 🛒,सुपरमार्केट
der Swimmingpool,swimming pool,स्विमिंग पूल
der Sänger,singer (male),गायक
der Tag,day,दिन
der Tanz,dance,नृत्य
der Tau,dew,ओस
der Tee,tea 🍵,चाय
der Teelöffel,teaspoon,चाय का चम्मच
der Teich,pond,तालाब
der Teller,plate 🍽️,प्लेट / थाली
der Tempel,temple 🛕,मंदिर
der Teppich,carpet / rug,कालीन
der Termin,appointment,अपॉइंटमेंट
der Termin beim Arzt,doctor's appointment,डॉक्टर का अपॉइंटमेंट
der Test,test,टेस्ट
der Text,text,पाठ
der Tierpark,animal park,जानवर पार्क
der Tiger,tiger 🐅,बाघ
der Tipp,To be translated,अनुवाद किया जाना है
der Tisch,table,मेज़
der Titel,To be translated,अनुवाद किया जाना है
der Toaster,toaster 🍞,टोस्टर
der Topf,pot 🍲,बर्तन / पतीला
der Tourist,To be translated,अनुवाद किया जाना है
der Trainer,coach,कोच
der Traum,dream,सपना
der Turm,tower,टावर
der Umschlag,envelope,लिफाफा
der Umweltschutz,environmental protection,पर्यावरण संरक्षण
der Umzug,To be translated,अनुवाद किया जाना है
der Unfall,accident,दुर्घटना
der Unterricht,class / lesson,पाठ
der Urlaub,vacation / holiday 🏖️,छुट्टी
der Urlaubsort,vacation destination,छुट्टी का स्थान
der Vater,father 👨,पिता
der Verband,bandage,पट्टी
der Verein,To be translated,अनुवाद किया जाना है
der Verkauf,sale,बिक्री
der Verkehr,traffic,ट्रैफ़िक
der Verkehr (Sg.),To be translated,अनुवाद किया जाना है
der Verkäufer,salesman,विक्रेता (पुरुष)
der Vermieter,To be translated,अनुवाद किया जाना है
der Vertrag,contract 📝,अनुबंध
der Verwandte,relative,रिश्तेदार
der Vogel,bird 🐦,पक्षी
der Volleyball,volleyball,वॉलीबॉल
der Vorhang,curtain,पर्दा
der Vormittag,late morning,दोपहर से पहले
der Vorname,first name,पहला नाम
der Vorschlag,To be translated,अनुवाद किया जाना है
der Vortrag,lecture,व्याख्यान
der Wagen,To be translated,अनुवाद किया जाना है
der Wal,whale 🐋,व्हेल
der Wald,forest 🌲,जंगल
der Waschbär,raccoon,रैकून
der Wasserkocher,kettle,केतली
der Wechselkurs,exchange rate,विनिमय दर
der Wecker,alarm clock,अलार्म क्लॉक
der Weg,way/path,रास्ता
der Weihnachtsbaum,Christmas tree,क्रिसमस ट्री
der Weihnachtsmann,Santa Claus 🎅,सांता क्लॉज़
der Wein,To be translated,अनुवाद किया जाना है
der Weißwein,white wine 🥂,सफ़ेद वाइन
der Werbespot,commercial,विज्ञापन
der Wettbewerb,contest,प्रतियोगिता
der Wetterbericht,weather forecast,मौसम पूर्वानुमान
der Wettkampf,competition,प्रतियोगिता
der Wiesel,weasel,नीला
der Wind,wind 💨,हवा
der Windpark,wind farm,पवन ऊर्जा पार्क
der Winter,winter ❄️,सर्दी
der Witz,joke,चुटकुला
der Wochenmarkt,weekly market,साप्ताहिक बाज़ार
der Wolf,wolf 🐺,भेड़िया
der Workshop,workshop,कार्यशाला
der Wunsch,wish,इच्छा
der Wurm,worm,कीड़ा
der Wähler,voter,मतदाता
der Zahn,tooth 🦷,दाँत
der Zahnarzt,dentist 🦷,दंत चिकित्सक
der Zeh,toe,पैर की उंगली
der Zeitplan,schedule,शेड्यूल
der Zeitpunkt,point in time,समय बिंदु
der Zeitraum,time period,समय अवधि
der Zettel,note/paper,नोट/कागज़
der Zins,interest,ब्याज
der Zinsen,interest,ब्याज
der Zirkus,circus,सर्कस
der Zoll,customs,कस्टम
der Zoo,zoo 🦁,चिड़ियाघर
der Zucker,sugar,चीनी
der Zucker (Sg.),To be translated,अनुवाद किया जाना है
der Zug,train 🚆,ट्रेन
der Zuschauer,spectator,दर्शक
der Zwilling,twin,जुड़वां
der/das Blog,To be translated,अनुवाद किया जाना है
der/das Comic,To be translated,अनुवाद किया जाना है
der/das Laptop,To be translated,अनुवाद किया जाना है
der/die,To be translated,अनुवाद किया जाना है
derselbe,the same (m),वही (m)
deshalb,therefore,इसलिए
deutlich,To be translated,अनुवाद किया जाना है
Deutsch,German 🇩🇪,जर्मन
Dezember,December,दिसंबर
dich,you (accusative),तुझे
dick,thick / fat,मोटा
die (E-)Mail,To be translated,अनुवाद किया जाना है
die Abfahrt,departure,प्रस्थान
die Abhebung,withdrawal,निकासी
die Abschlussfeier,graduation ceremony,समापन समारोह
die Abteilung,department,विभाग
die Accessoires,accessories,एक्सेसरीज़
die Adresse,address 📍,पता
die Ahnung,To be translated,अनुवाद किया जाना है
die Akte,file/folder,फ़ाइल
die Allergie,allergy,एलर्जी
die Altstadt,old town,पुराना शहर
die Ameise,ant 🐜,चींटी
die Ampel,traffic light 🚦,ट्रैफ़िक लाइट
die Amsel,blackbird,काली चिड़िया
die Ananas,pineapple,अनानास
die Angst,fear / anxiety,डर / चिंता
die Ankunft,arrival,आगमन
die Anlage,attachment,अटैचमेंट
die Anprobe,trying on,ट्राय करना
die Antwort,answer,जवाब
die Antwort geben,to give an answer,जवाब देना
die Anzeige,ad/classified,विज्ञापन
die Apotheke,pharmacy 💊,दवाखाना
die App,app,ऐप
die Arbeit,To be translated,अनुवाद किया जाना है
die Arbeitslosigkeit,unemployment,बेरोजगारी
die Arbeitszeit,working hours,काम के घंटे
die Armbanduhr,wristwatch,कलाई घड़ी
die Armut,poverty,गरीबी
die Arztpraxis,doctor's office,डॉक्टर का क्लीनिक
die Asyl,asylum,शरण
die Aufführung,performance,प्रदर्शन
die Aufgabe,task / exercise,कार्य
die Aufgabe lösen,to solve the task,कार्य हल करना
die Aufregung,excitement,उत्तेजना
die Augen,eyes 👀,आँखें
die Augenbraue,eyebrow,भौं
die Ausbildung,apprenticeship/training,प्रशिक्षण
die Ausdauer,endurance,सहनशीलता
die Auskunft,information,जानकारी
die Ausrüstung,equipment,उपकरण
die Aussicht,view,नज़ारा
die Ausstellung,exhibition,प्रदर्शनी
die Auswahl,choice / selection,चयन
die Autobahn,To be translated,अनुवाद किया जाना है
die Autorin,author (female),लेखिका
die Badehose,swim trunks (m) 🩲,स्विमिंग शॉर्ट्स
die Badewanne,bathtub 🛁,बाथटब
die Bahn,train / railway,रेल
die Banane,banana,केला
die Band,band,बैंड
die Bank,bank 🏦,बैंक
die Bank (im Park),bench,बेंच
die Bankfiliale,bank branch,बैंक शाखा
die Bankkarte,bank card,बैंक कार्ड
die Barzahlung,cash payment,नकद भुगतान
die Batterie,battery,बैटरी
die Baumwolle,cotton,कपास
die Baustelle,construction site,निर्माण स्थल
die Bedienung,service,सेवा
die Beerdigung,funeral,अंतिम संस्कार
die Beere,berry,बेरी
die Beförderung,promotion,पदोन्नति
die Begeisterung,enthusiasm,उत्साह
die Begrüßung,greeting,अभिवादन
die Behandlung,treatment,उपचार
die Beilage,side dish,साइड डिश
die Bekanntschaft,acquaintance,परिचय
die Beratung,advice,सलाह
die Besprechung,meeting,मीटिंग
die Bestellung,order,ऑर्डर
die Bevölkerung,population,जनसंख्या
die Bewegung,exercise/movement,व्यायाम
die Bewerbung,application,आवेदन
die Beziehung,relationship,रिश्ता
die Bibliothek,library 📚,पुस्तकालय
die Biene,bee 🐝,मधुमक्खी
die Biologie,biology,जीव विज्ञान
die Birne,pear / light bulb,नाशपाती / बल्ब
die Bitte,Please / You're welcome,कृपया
die Blume,flower 🌸,फूल
die Blumen,flowers 💐,फूल
die Bluse,blouse,ब्लाउज़
die Blüte,blossom,फूल
die Bohne,To be translated,अनुवाद किया जाना है
die Bordkarte,boarding pass,बोर्डिंग पास
die Braut,bride 👰,दुल्हन
die Briefmarke,stamp,डाक टिकट
die Brieftasche,wallet,बटुआ
die Brille,glasses 👓,चश्मा
die Brust,chest / breast,छाती / सीना
die Brücke,bridge 🌉,पुल
die Bushaltestelle,bus stop 🚏,बस स्टॉप
die Butter,butter,मक्खन
die Butter (Sg.),To be translated,अनुवाद किया जाना है
die Bäckerei,To be translated,अनुवाद किया जाना है
die Bühne,stage,मंच
die Bürste,brush,ब्रश
die Cafeteria,To be translated,अनुवाद किया जाना है
die CD,CD,सीडी
die Chefin,boss (female),बॉस (महिला)
die Chemie,chemistry,रसायन विज्ञान
die Cola,cola 🥤,कोला
die Cousine,cousin (female),चचेरी/ममेरी बहन
die Creme,cream,क्रीम
die Dame,To be translated,अनुवाद किया जाना है
die Dankbarkeit,gratitude,कृतज्ञता
die Datei,file,फ़ाइल
die Dauer,duration,अवधि
die Deadline,deadline,अंतिम तिथि
die Decke,ceiling,छत (अंदर)
die Dekoration,decoration,सजावट
die Demo,demonstration,प्रदर्शन
die Demokratie,democracy,लोकतंत्र
die Demonstration,demonstration,प्रदर्शन
die Deutschstunde,German lesson,जर्मन की क्लास
die Diagnose,diagnosis,निदान
die Disco,To be translated,अनुवाद किया जाना है
die Diskriminierung,discrimination,भेदभाव
die Diskussion,discussion,चर्चा
die Diät,diet,डाइट
die Dose,can 🥫,डिब्बा / कैन
die Drogerie,drugstore,ड्रगस्टोर
die Dusche,shower 🚿,शॉवर
die Dürre,drought,सूखा
die E-Mail,email 📧,ई-मेल
die E-Mail schreiben,to write an email,ईमेल लिखना
die E-Mail-Adresse,email address,ई-मेल पता
die EC-Karte,debit card,डेबिट कार्ड
die Ecke,corner,कोना
die Ehe,marriage,विवाह
die Ehefrau,wife,पत्नी
die Eifersucht,jealousy,ईर्ष्या
die Eile,hurry,जल्दबाज़ी
die Einbahnstraße,one-way street,एक तरफा सड़क
die Einladung,invitation,निमंत्रण
die Eins,grade 1 (best),पहला नंबर
die Einschreibung,enrollment,नामांकन
die Einweihung,inauguration,उद्घाटन
die Einwohner,inhabitants,निवासी
die Einzahlung,deposit,जमा
die Eltern,parents 👨‍👩,माता-पिता
die Energie,energy,ऊर्जा
die Energie sparen,to save energy,ऊर्जा बचाना
die Englischstunde,English lesson,अंग्रेजी की क्लास
die Enkelin,granddaughter,पोती
die Ente,duck 🦆,बत्तख
die Entfernung,distance,दूरी
die Entscheidung,decision,निर्णय
die Entschuldi-,To be translated,अनुवाद किया जाना है
die Entspannung,relaxation,आराम
die Enttäuschung,disappointment,निराशा
die Entzündung,inflammation,सूजन
die Erdbeere,strawberry,स्ट्रॉबेरी
die Erde,earth / ground 🌍,धरती / ज़मीन
die Erderwärmung,global warming,वैश्विक तापन
die Erfahrung,experience,अनुभव
die Erinnerung,memory/reminder,याददाश्त
die Erkältung,cold (illness) 🤧,सर्दी-जुकाम
die Erlaubnis (Sg.),To be translated,अनुवाद किया जाना है
die Erleichterung,relief,राहत
die Erneuerbare Energie,renewable energy,नवीकरणीय ऊर्जा
die Ernährung,nutrition,पोषण
die Erwartung,expectation,उम्मीद
die Eröffnung,opening,उद्घाटन
die Eule,owl,उल्लू
die Fabrik,factory 🏭,फैक्ट्री
die Fahrkarte,ticket (transport) 🎫,टिकट
die Fahrt,journey/trip,यात्रा
die Fakultät,faculty,संकाय
die Familie,family 👨‍👩‍👧,परिवार
die Fanta,Fanta (orange soda),फैंटा
die Farbe,color,रंग
die Feier,celebration / party,जश्न
die Feierlichkeit,celebration/ceremony,उत्सव
die Ferien,holidays (school),छुट्टियाँ
die Ferien (Pl.),To be translated,अनुवाद किया जाना है
die Fernsehsendung,TV program,टीवी कार्यक्रम
die Firma,company / firm,कंपनी
die Flasche,bottle 🍼,बोतल
die Fledermaus,bat,चमगादड़
die Fleisch,meat,मांस
die Fliege,fly,मक्खी
die Flucht,flight (refugee),शरणार्थी
die Flut,flood,बाढ़
die Flöte,flute,बांसुरी
die Folge,episode,एपिसोड
die Folie,slide,स्लाइड
die Frage,question ❓,सवाल
die Frage stellen,to ask a question,सवाल पूछना
die Frau,woman / wife 👩,महिला / पत्नी
die Freiheit,freedom,स्वतंत्रता
die Freizeit,free time,खाली समय
die Freizeit (Sg.),To be translated,अनुवाद किया जाना है
die Freizeitaktivität,leisure activity,खाली समय की गतिविधि
die Freude,joy,खुशी
die Freundin,friend (f) / girlfriend,सहेली / गर्लफ्रेंड
die Freundschaft,friendship,दोस्ती
die Frist,deadline,डेडलाइन
die Frucht,fruit,फल
die Frustration,frustration,निराशा
die Fundsachen,To be translated,अनुवाद किया जाना है
die Fußgängerzone,pedestrian zone,पैदल क्षेत्र
die Führung,guided tour,गाइडेड टूर
die Füße,feet,पैर (दोनों)
die Gabel,fork 🍴,काँटा
die Galerie,gallery,गैलरी
die Garage,garage 🚗,गैरेज
die Garantie,warranty,गारंटी
die Gardine,curtain (net),पर्दा (जाली वाला)
die Gastgeberin,host (f),मेजबान (f)
die Geburtstagsparty,birthday party,जन्मदिन की पार्टी
die Gebühr,fee,शुल्क
die Gegenwart,present,वर्तमान
die Geige,violin,वायलिन
die Gelassenheit,calmness,शांति
die Geldbörse,wallet / purse,पर्स
die Gemüse,vegetables,सब्ज़ियाँ
die Generation,generation,पीढ़ी
die Genesung,recovery,ठीक होना
die Geografie,geography,भूगोल
die Geschenke,gifts,उपहार
die Geschichte,story,कहानी
die Geschwindigkeit,speed,गति
die Geschwindigkeitsbegrenzung,speed limit,गति सीमा
die Geschwister,siblings,भाई-बहन
die Gesellschaft,society,समाज
die Gesundheit,health 🏥,स्वास्थ्य
die Gewohnheit,habit,आदत
die Gewürze,spices,मसाले
die Giraffe,giraffe 🦒,जिराफ
die Gitarre,guitar,गिटार
die Gitarre spielen,to play guitar,गिटार बजाना
die Gleichberechtigung,equality,समानता
die Glückwunschkarte,congratulation card,बधाई कार्ड
die Glühbirne,light bulb,बल्ब
die Grammatik,grammar,व्याकरण
die Grenze,border,सीमा
die Grillparty,barbecue party,बारबेक्यू पार्टी
die Grippe,flu,फ्लू
die Grippe (Sg.),To be translated,अनुवाद किया जाना है
die Großeltern,grandparents,दादा-दादी / नाना-नानी
die Großmutter,grandmother (formal),दादी / नानी
die Gruppe,To be translated,अनुवाद किया जाना है
die Größe,size,साइज़
die Gurke,cucumber,खीरा
die Gäste,guests,मेहमान
die Halle,To be translated,अनुवाद किया जाना है
die Haltestelle,stop (bus/tram),स्टॉप
die Hand,hand ✋,हाथ
die Handlung,plot,कहानी
die Handschuhe,gloves,दस्ताने
die Handtasche,handbag / purse,हैंडबैग
die Hauptspeise,main course,मुख्य पकवान
die Hauptstadt,To be translated,अनुवाद किया जाना है
die Hausarbeit,housework,घरेलू काम
die Hausaufgabe,homework 📝,होमवर्क
die Hausaufgaben,homework,होमवर्क
die Haut,skin,त्वचा / चमड़ी
die Hecke,hedge,बाड़
die Heimat,homeland,मातृभूमि
die Heimat (Sg.),To be translated,अनुवाद किया जाना है
die Heizung,heating,हीटिंग
die Herkunft,origin,मूल
die Hilfe,help,मदद
die Hilfe (Sg.),To be translated,अनुवाद किया जाना है
die Hilfe leisten,to provide help,मदद प्रदान करना
die Hilfsorganisation,aid organization,सहायता संगठन
die Hin- und Rückfahrt,round trip,आना-जाना टिकट
die Hitze,heat,गर्मी
die Hobbys,hobbies,शौक
die Hochschule,college,कॉलेज
die Hochzeit,wedding 💒,शादी
die Hoffnung,hope,उम्मीद
die Homepage,To be translated,अनुवाद किया जाना है
die Hose,trousers / pants 👖,पैंट
die Hygiene,hygiene,स्वच्छता
die Hände,hands,हाथ (दोनों)
die Händedesinfektion,hand disinfection,हाथ की सफाई
die Hüfte,hip,कूल्हा
die Idee,idea,विचार
die Impfung,vaccination,टीका
die Information,information,जानकारी
die Insel,island 🏝️,द्वीप
die Integration,integration,एकीकरण
die Jacke,jacket 🧥,जैकेट
die Jahreszeit,season,मौसम / ऋतु
die Jeans,jeans 👖,जींस
die Jeans (Pl.),To be translated,अनुवाद किया जाना है
die Jugend-,To be translated,अनुवाद किया जाना है
die Kabine,changing room,चेंजिंग रूम
die Kaffeemaschine,coffee machine ☕,कॉफ़ी मशीन
die Kalorie,calorie,कैलोरी
die Kamera,camera 📸,कैमरा
die Kanne,jug / pot,जग / केतली
die Kantine,canteen,कैंटीन
die Karneval,carnival,कार्निवल
die Karotte,carrot,गाजर
die Karriere,career,करियर
die Karte,card 💳,कार्ड
die Karte kaufen,to buy a map,नक्शा खरीदना
die Karte schicken,to send a card,कार्ड भेजना
die Kartoffel,potato,आलू
die Kasse,cash register / checkout,कैश काउंटर
die Katastrophe,catastrophe,आपदा
die Katze,cat 🐈,बिल्ली
die Kellnerin,waitress,वेट्रेस
die Kerze,candle 🕯️,मोमबत्ती
die Kette,necklace / chain,हार / चेन
die Kilometer,kilometers,किलोमीटर
die Kinder,children,बच्चे
die Kirche,church ⛪,गिरजाघर
die Kirsche,cherry,चेरी
die Klasse,class / grade,कक्षा
die Klausur,exam,परीक्षा
die Kleidung (Sg.),To be translated,अनुवाद किया जाना है
die Klimaanlage,air conditioning,एयर कंडीशनिंग
die Knospe,bud,कली
die Kollegin,colleague (female),सहकर्मी (महिला)
die Kommode,chest of drawers,दराजों वाली अलमारी
die Konferenz,conference,कॉन्फ्रेंस
die Kontaktlinse,contact lens,कॉन्टैक्ट लेंस
die Kontonummer,account number,खाता संख्या
die Kopie,copy,कॉपी
die Korrektur,correction,सुधार
die Kosmetik,cosmetics,कॉस्मेटिक्स
die Kosmetik (Sg.),To be translated,अनुवाद किया जाना है
die Kraft,strength,शक्ति
die Kranken-,To be translated,अनुवाद किया जाना है
die Kranken-,To be translated,अनुवाद किया जाना है
die Krankenkasse,health insurance,स्वास्थ्य बीमा
die Krankenschwester,nurse,नर्स
die Krankenversicherung,health insurance,स्वास्थ्य बीमा
die Krankheit,illness / disease,बीमारी
die Krankmeldung,sick note,बीमारी की सूचना
die Krawatte,tie 👔,टाई
